신우편번호,상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,경도,위도,업종구분
21445.0,19927968,우리집양념,,Q,음식,Q09,유흥주점,Q09A01,호프/맥주,I56219,기타 주점업,126.700853409254,37.4728232307585,외식업
21362.0,20675775,롯데마트부평점,부평점,D,소매,D03,종합소매점,D03B10,할인점,G47119,기타 대형 종합 소매업,126.704062244448,37.5049982168083,소매업
21351.0,20542987,선경정육점,,D,소매,D01,음/식료품소매,D01A03,정육점,G47212,육류 소매업,126.732934921019,37.5051042373981,소매업
21318.0,20547500,뫼골반찬점,,D,소매,D01,음/식료품소매,D01A07,반찬가게,G47219,기타 식료품 소매업,126.73759831122,37.51966075116,소매업
21317.0,20631578,이십일세기궁전양념통닭,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,126.731644802078,37.5178489672603,외식업
21335.0,20815318,백윤정헤어,,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,126.722874268786,37.5101047201608,서비스업
21329.0,21681548,대신도시정비개발,,F,생활서비스,F14,자동차/이륜차,F14A01,자동차정비/카센타,,,126.722812038858,37.5164112456632,서비스업
21406.0,21550977,큐노래연습장,,N,관광/여가/오락,N02,무도/유흥/가무,N02A01,노래방,R91223,노래연습장 운영업,126.725652703239,37.4877170870509,서비스업
21363.0,21475399,허브유다이어트,,D,소매,D10,건강/미용식품,D10A01,다이어트상품판매,G47216,건강보조식품 소매업,126.71208805204,37.5052481873262,소매업
21414.0,22198764,부평6우체국,,F,생활서비스,F04,운송/배달/택배,F04B08,우체국/우편물취급소,J61100,우편업,126.73050834325,37.4874359843078,서비스업
21322.0,22230606,동화자동차공업사,,F,생활서비스,F14,자동차/이륜차,F14A01,자동차정비/카센타,,,126.750635055984,37.5166457795859,서비스업
