기준 일자,정류소 명,정류소 번호,정류소아이디,권역,엑스좌표,위도,와이좌표,경도
2021-07-23,(구)국제여객터미널,35051,161000051,중구,164336.142,126.5977262,439026.3324,37.45270652
2021-07-23,(구)국제여객터미널,35052,161000052,중구,164354.2093,126.597932,438993.844,37.45241451
2021-07-23,(구)시민회관사거리,37326,163000326,미추홀구,171611.3811,126.679927,439559.922,37.45776642
2021-07-23,(구)시민회관사거리,37319,163000319,미추홀구,171634.3433,126.6801883,439514.779,37.4573604
2021-07-23,(구)신현주공,42228,168000228,서구,171058.195,126.6733945,446673.6356,37.52184278
2021-07-23,(구)오성극장,36013,162000013,동구,167603.6636,126.6345269,441916.6695,37.47886843
2021-07-23,(구)현대백화점,40157,166000157,부평구,174451.6523,126.7118911,443521.366,37.49354167
2021-07-23,(구)현대백화점,40158,166000158,부평구,174395.6197,126.7112675,443233.7065,37.49094833
2021-07-23,(주)CJLION입구,35479,161000479,중구,166463.28,126.6218155,437940.74,37.44300516
2021-07-23,(주)경동세라믹스,89146,168001146,서구,166087.8384,126.6169776,450837.1724,37.55918552
2021-07-23,(주)경인양행앞,42096,168000096,서구,170343.637,126.6654136,444145.8737,37.49904538
2021-07-23,(주)경인양행앞,42097,168000097,서구,170465.3876,126.6667891,444178.4131,37.49934246
2021-07-23,(주)다이아트론,39133,165000133,남동구,174029.3658,126.7074212,434874.6036,37.41562307
2021-07-23,(주)다이아트론,39134,165000134,남동구,174004.1676,126.7071353,434909.4484,37.41593631
2021-07-23,(주)대한특수금속,39050,165000050,남동구,172879.0446,126.6944906,433147.5666,37.40002943
2021-07-23,(주)두남,39135,165000135,남동구,173648.1398,126.7031061,435119.4794,37.41781861
2021-07-23,(주)삼환교통(종점),35286,161000286,중구,166153.5853,126.6183322,437585.4911,37.43979312
2021-07-23,(주)선우정공,39556,165000556,남동구,173449.7136,126.7008559,435360.4839,37.41998438
2021-07-23,(주)선우정공,39124,165000124,남동구,173368.2624,126.6999464,435067.3135,37.41734057
2021-07-23,(주)세모입구(린나이코리아),37585,163000585,미추홀구,172037.8604,126.6846847,441205.1449,37.47260274
2021-07-23,(주)세모입구(린나이코리아),40893,166000893,부평구,172057.7617,126.6849083,441242.8151,37.47294275
2021-07-23,(주)스킨이데아,89388,168001388,서구,,0,,0
2021-07-23,(주)스킨이데아,89389,168001389,서구,,0,,0
2021-07-23,(주)에코마이스터,89147,168001147,서구,166319.5008,126.6195958,450916.9541,37.55991283
2021-07-23,(주)창원,39029,165000029,남동구,173299.1435,126.6992605,432446.33,37.3937235
2021-07-23,(주)창원,39030,165000030,남동구,173277.9157,126.699019,432494.3646,37.39415568
2021-07-23,10번 종점,37292,163000292,미추홀구,170579.3231,126.6682538,439774.3012,37.45966564
2021-07-23,119정서진구조대,89172,168001172,서구,170757.0407,126.6697565,452471.1693,37.57406767
2021-07-23,14-1번종점,39585,165000585,남동구,178011.9714,126.7523389,437219.8808,37.4368574
2021-07-23,17사단.다임메가타운,40895,166000895,부평구,177507.0181,126.7464811,442195.4793,37.48167518
2021-07-23,17사단입구,40832,166000832,부평구,177516.4992,126.7466032,441707.0289,37.47727451
2021-07-23,1군단앞,63050,218000050,코드정보 없음,192282.1065,126.9132486,468615.4941,37.7199573
2021-07-23,1군단앞,63060,218000060,코드정보 없음,192190.8291,126.9122145,468502.4995,37.71893848
2021-07-23,1번종점,42373,168000373,서구,166748.2336,126.6242616,455019.4468,37.59689054
2021-07-23,1번종점,42372,168000372,서구,166751.5337,126.6242992,455014.6469,37.59684742
2021-07-23,1차풍림아이원,42642,168000642,서구,169714.5348,126.6577678,457000.7687,37.61484416
2021-07-23,1층입국장.인천국제공항,35337,161000337,중구,152424.43,126.4631275,438727.03,37.44947333
2021-07-23,2001아울렛,40154,166000154,부평구,174351.7495,126.7107737,443170.7223,37.49037963
2021-07-23,2001아울렛,40162,166000162,부평구,174496.6231,126.7124092,443245.4605,37.49105704
2021-07-23,2001아울렛,40159,166000159,부평구,174465.2197,126.7120553,443211.5236,37.4907504
2021-07-23,2차풍림아이원,42584,168000584,서구,169970.2959,126.6606719,456820.837,37.61323144
2021-07-23,3단지,40736,166000736,부평구,173853.6084,126.7051474,442992.3973,37.48875895
2021-07-23,3단지관리사무소,40107,166000107,부평구,173842.5634,126.7050227,442987.6075,37.48871548
2021-07-23,41번구종점,42174,168000174,서구,170506.952,126.6671947,445782.494,37.51379628
